Cruise,Type,Station,yyyymmdd,Bot. Depth [m],Longitude [degrees_east],Latitude [degrees_north],"Pressure, Digiquartz [db]","Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Oxygen raw, SBE 43 [V]","Oxygen, SBE 43 [umol/kg]","Beam Attenuation, WET Labs C-Star [1/m]"," Beam Transmission, WET Labs C-Star [%]","Fluorescence, Chelsea Aqua 3 Chl Con [ug/l]","PAR/Irradiance, Biospherical/Licor","PAR/Irradiance, Biospherical/Licor 2","Turbidity, WET Labs ECO BB [m^-1/sr]"
AMTXXX,B,CTD002,20191016,140,-7.20367,48.52183,142.9890,12.3959,35.4802,2.0616,215.676,0.1120,97.2384,0.0687,1.0000E-12,3.4317E-05,6.5907E-04
AMTXXX,B,CTD002,20191016,120,-7.20367,48.52183,122.1660,12.4032,35.4812,2.0663,215.817,0.1153,97.1598,0.0690,1.5505E-02,3.1352E-05,7.3756E-04
AMTXXX,B,CTD002,20191016,100,-7.20367,48.52183,101.9780,12.4026,35.4815,2.0710,215.569,0.1174,97.1073,0.0675,1.8241E-01,1.0000E-12,7.3249E-04
AMTXXX,B,CTD002,20191016,70,-7.20367,48.52183,72.7020,12.4120,35.4781,2.0785,215.911,0.0992,97.5495,0.0696,1.4843E+00,1.5366E-02,4.9701E-04
AMTXXX,B,CTD002,20191016,35,-7.20367,48.52183,37.5950,14.9039,35.4275,2.2480,226.502,0.0736,98.1761,0.1902,9.2777E+00,2.5348E-01,1.6484E-04
AMTXXX,B,CTD002,20191016,5,-7.20367,48.52183,7.0240,15.8880,35.3720,2.3599,235.725,0.1471,96.3883,0.3253,4.4166E+01,1.0256E+00,2.0391E-04
AMTXXX,B,CTD002,20191016,2,-7.20367,48.52183,4.8640,15.8859,35.3720,2.3592,235.367,0.1493,96.3366,0.3481,5.0018E+01,1.1835E+00,2.2343E-04
AMTXXX,B,CTD004,20191018,2000,-13.88232,46.16550,2033.2900,3.8642,34.9840,1.6541,249.770,0.0072,99.8211,-0.0006,1.0000E-12,2.3725E-05,8.8311E-05
AMTXXX,B,CTD004,20191018,1500,-13.88232,46.16550,1521.5020,5.3351,35.1413,1.7129,236.058,0.0072,99.8215,0.0021,1.0000E-12,2.6691E-05,8.6159E-05
AMTXXX,B,CTD004,20191018,1000,-13.88232,46.16550,1016.8320,9.5820,35.7273,1.6136,182.456,0.0089,99.7767,0.0041,1.0000E-12,2.7115E-05,8.8417E-05
AMTXXX,B,CTD004,20191018,500,-13.88232,46.16550,506.6520,11.1120,35.5207,1.9171,210.625,0.0150,99.6251,0.0059,1.0000E-12,3.0504E-05,6.0072E-05
AMTXXX,B,CTD004,20191018,200,-13.88232,46.16550,203.5360,12.1273,35.5932,2.1701,233.353,0.0197,99.5085,0.0118,1.0000E-12,2.9233E-05,3.2111E-05
AMTXXX,B,CTD004,20191018,70,-13.88232,46.16550,67.4240,17.1067,35.6801,2.3454,229.533,0.0909,97.7529,0.2581,1.9788E+00,2.9538E-05,1.1932E-04
AMTXXX,B,CTD004,20191018,5,-13.88232,46.16550,7.5150,17.2067,35.6827,2.3601,229.325,0.0968,97.6096,0.2548,1.0604E+02,1.2959E+00,1.0084E-04
AMTXXX,B,CTD006,20191019,2000,-17.14783,43.91417,2032.9330,3.7513,34.9558,1.6745,254.963,0.0051,99.8743,-0.0001,1.0000E-12,3.6436E-05,7.6884E-05
AMTXXX,B,CTD006,20191019,1500,-17.14783,43.91417,1521.6850,4.5136,34.9968,1.7620,251.156,0.0062,99.8452,0.0041,1.0000E-12,3.4741E-05,8.0455E-05
